,Course Title,Instructors,tags
102,Poetry in America: Walt Whitman,['ElisaNew'],human histori design religion and educ elisanew harvardx
103,Introduction to Computer Science and Programming Using Python,"['EricGrimson', 'JohnGuttag']",comput scienc ericgrimson johnguttag mitx
104,"Transforming Business, Society, and Self",['OttoScharmer'],govern health and social scienc ottoscharm mitx
105,ContractsX: From Trust to Promise to Contract,['CharlesFried'],govern health and social scienc charlesfri harvardx
106,Advanced Introductory Classical Mechanics,['DavidE.Pritchard'],scienc technolog engin and mathemat davide.pritchard mitx
107,Entrepreneurship 101: Who Is Your Customer?,['BillAulet'],govern health and social scienc billaulet mitx
108,Entrepreneurship 102: What Can You Do For Your Customer?,['BillAulet'],govern health and social scienc billaulet mitx
109,Quantitative Biology Workshop,['Collaborative'],scienc technolog engin and mathemat collabor mitx
110,Innovation and Commercialization,['EugeneFitzgerald'],govern health and social scienc eugenefitzgerald mitx
111,Data Analysis for Genomics: Statistics and R for the Life Sciences,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
112,Circuits and Electronics,['AnantAgarwal'],scienc technolog engin and mathemat anantagarw mitx
113,Building Mobile Experiences,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
114,The Challenges of Global Poverty,"['Duflo', 'Banerjee']",govern health and social scienc duflo banerje mitx
115,Introduction to Probability: The Science of Uncertainty,"['JohnTsitsiklis', 'PatrickJailet', 'DimitriBertsekas']",scienc technolog engin and mathemat johntsitsikli patrickjailet dimitribertseka mitx
116,Discrete-Time Signal Processing,"['Oppenheim', 'Baran']",scienc technolog engin and mathemat oppenheim baran mitx
117,"Saving Schools: History, Politics, and Policy in U.S. Education",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
118,Super-Earths and Life,['DimitarSasselov'],scienc technolog engin and mathemat dimitarsasselov harvardx
119,"Symmetry, Structure and Tensor Properties of Materials",['EugeneFitzgerald'],scienc technolog engin and mathemat eugenefitzgerald mitx
120,Mastering Quantum Mechanics,['BartonZwiebach'],scienc technolog engin and mathemat bartonzwiebach mitx
121,The Einstein Revolution,['PeterGalison'],human histori design religion and educ petergalison harvardx
122,"Central Challenges in American National Security, Strategy and the Press","['GrahamAllison', 'DavidSanger']",govern health and social scienc grahamallison davidsang harvardx
123,Introduction to Linear Models and Matrix Algebra,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
124,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
125,Advanced Statistics for the Life Sciences,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
126,Computation Structures: Digital Circuits,"['ChrisTerman', 'SteveWard', 'SilvinaHanonoWachman']",comput scienc christerman steveward silvinahanonowachman mitx
127,The Analytics Edge,"['DimitrisBertsimas', ""AllisonO'Hair""]",govern health and social scienc dimitrisbertsima allisono'hair mitx
128,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,['JeffreyHoffman'],scienc technolog engin and mathemat jeffreyhoffman mitx
129,Introduction to Computational Thinking and Data Science,['EricGrimson'],comput scienc ericgrimson mitx
130,JuryX: Deliberations for Social Change,['CharlesNesson'],govern health and social scienc charlesnesson harvardx
131,Molecular Biology: DNA Replication and Repair,"['StephenBell', 'TaniaBaker']",scienc technolog engin and mathemat stephenbel taniabak mitx
132,Poetry in America: Emily Dickinson,['ElisaNew'],human histori design religion and educ elisanew harvardx
133,The American Dream for the Next Generation,['ThomasKochan'],govern health and social scienc thomaskochan mitx
134,Introduction to Bioconductor,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
135,Entrepreneurship 101: Who Is Your Customer?,['BillAulet'],govern health and social scienc billaulet mitx
136,Design and Development of Games for Learning,['EricKlopfer'],human histori design religion and educ ericklopf mitx
137,Evaluating Social Programs,"['RachelGlennerster', 'MarcShotland']",govern health and social scienc rachelglennerst marcshotland mitx
138,"Electrical, Optical and Magnetic Materials and Devices",['CarolineRoss'],scienc technolog engin and mathemat carolineross mitx
139,"Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis",['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
140,"Data Analysis for Genomics: Case study, Variant Discovery and Genotyping",['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
141,"Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis",['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
142,"Data Analysis for Genomics: Case study, DNA Methylation Data Analysis",['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
143,Entrepreneurship 102: What Can You Do For Your Customer?,['BillAulet'],govern health and social scienc billaulet mitx
144,Innovating in Health Care,"['ReginaHerzlinger', 'MargoSelzer']",govern health and social scienc reginaherzling margoselz harvardx
145,Poetry in America: The Civil War and Its Aftermath,['ElisaNew'],human histori design religion and educ elisanew harvardx
146,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,['KathrynParkerBoudett'],human histori design religion and educ kathrynparkerboudett harvardx
147,Supply Chain and Logistics Fundamentals,['ChrisCaplice'],govern health and social scienc chriscaplic mitx
148,Advanced Introductory Classical Mechanics,['DavidE.Pritchard'],scienc technolog engin and mathemat davide.pritchard mitx
149,User Innovation: A Path to Entrepreneurship,['EricvonHippel'],govern health and social scienc ericvonhippel mitx
150,Calculus: Differentiation,['DavidJerison'],scienc technolog engin and mathemat davidjerison mitx
151,The Analytics Edge,"['DimitrisBertsimas', ""AllisonO'Hair""]",govern health and social scienc dimitrisbertsima allisono'hair mitx
152,Paradox and Infinity,['AugustinRayo'],human histori design religion and educ augustinrayo mitx
153,Introduction to Computer Science and Programming,"['EricGrimson', 'JohnGuttag']",comput scienc ericgrimson johnguttag mitx
154,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,['FeliceFrankel'],scienc technolog engin and mathemat felicefrankel mitx
155,Principles of Biochemistry,"['AlainViel', 'RachelleGaudet']",scienc technolog engin and mathemat alainviel rachellegaudet harvardx
156,Science and Cooking: From Haute Cuisine to Soft Matter Science,['MichaelBrenner'],scienc technolog engin and mathemat michaelbrenn harvardx
157,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"['J.ChristopherLove', 'AnthonyJ.Sinskey', 'StacySprings']",govern health and social scienc j.christopherlov anthonyj.sinskey stacyspr mitx
